customer_id,first_name,middle_initial,last_name,age
1,Aaron,,Alexander,66
2,Aaron,,Bryant,40
3,Aaron,,Butler,39
4,Aaron,,Chen,68
5,Aaron,,Coleman,54
6,Aaron,,Con,41
7,Aaron,,Edwards,37
8,Aaron,,Flores,21
9,Aaron,,Foster,45
10,Aaron,,Gonzales,58
11,Aaron,,Griffin,44
12,Aaron,,Henderson,64
13,Aaron,,Hernandez,25
14,Aaron,,Hill,72
15,Aaron,,Jai,71
16,Aaron,,Jenkins,44
17,Aaron,,Lal,65
18,Aaron,,Li,64
19,Aaron,,Nicholls,60
20,Aaron,,Perry,38
21,Aaron,,Powell,53
22,Aaron,,Roberts,46
23,Aaron,,Russell,24
24,Aaron,,Shan,31
25,Aaron,,Simmons,26
26,Aaron,A,Allen,29
27,Aaron,A,Hayes,70
28,Aaron,A,Zhang,20
29,Aaron,B,Adams,45
30,Aaron,C,Campbell,28
31,Aaron,C,Diaz,35
32,Aaron,C,Scott,65
33,Aaron,C,Yang,20
34,Aaron,E,Baker,32
35,Aaron,E,Evans,67
36,Aaron,J,Carter,23
37,Aaron,J,Hughes,35
38,Aaron,J,McDonald,44
39,Aaron,J,Sharma,63
40,Aaron,K,Hall,61
41,Aaron,L,King,69
42,Aaron,L,Perez,31
43,Aaron,L,Washington,55
44,Aaron,L,Wright,28
45,Aaron,M,Gonzalez,69
46,Aaron,M,Kumar,57
47,Aaron,M,Young,50
48,Aaron,N,Ross,29
49,Aaron,P,Collins,60
50,Aaron,R,Green,21
51,Aaron,R,Nelson,73
52,Aaron,R,Phillips,36
53,Aaron,V,Wang,48
54,Aaron,W,Mitchell,60
55,Aaron,W,Patterson,19
56,Abby,,Arthur,63
57,Abby,,Fernandez,62
58,Abby,,Madan,30
59,Abby,,Martinez,44
60,Abby,,Patel,25
61,Abby,,Perez,62
62,Abby,,Sandberg,54
63,Abby,,Subram,40
64,Abby,A,Garcia,52
65,Abby,C,Mehta,21
66,Abby,E,Chandra,19
67,Abby,J,Kapoor,26
68,Abby,J,Sanchez,70
69,Abby,K,Kovár,22
70,Abby,L,Sai,22
71,Abby,M,Lopez,62
72,Abby,P,Gonzalez,18
73,Abby,P,Rana,32
74,Abby,T,Raman,28
75,Abe,M,Tramel,22
76,Abhijit,,Thakur,56
77,Abigail,,Alexander,53
78,Abigail,,Barnes,52
79,Abigail,,Bell,31
80,Abigail,,Clark,65
81,Abigail,,Cox,38
82,Abigail,,Foster,33
83,Abigail,,Garcia,59
84,Abigail,,Gonzales,51
85,Abigail,,Harris,58
86,Abigail,,Henderson,63
87,Abigail,,Howard,35
88,Abigail,,James,60
89,Abigail,,Jenkins,68
90,Abigail,,Johnson,18
91,Abigail,,Martin,43
92,Abigail,,Martinez,42
93,Abigail,,Miller,18
94,Abigail,,Murphy,53
95,Abigail,,Patterson,25
96,Abigail,,Rodriguez,64
97,Abigail,,Rogers,22
98,Abigail,,Ross,57
99,Abigail,,Sanchez,60
100,Abigail,,Simmons,54
101,Abigail,,Smith,28
102,Abigail,,Stewart,65
103,Abigail,,Thompson,36
104,Abigail,,Torres,64
